ra,dec,mag_model_hst-f814w,mag_model_uvista-y,mag_model_uvista-j,mag_model_uvista-h,mag_model_uvista-ks,mag_model_irac-ch1,mag_model_irac-ch2,mag_model_f115w,mag_model_f150w,mag_model_f277w,mag_model_f444w,flux_model_hst-f814w,flux_model_uvista-y,flux_model_uvista-j,flux_model_uvista-h,flux_model_uvista-ks,flux_model_irac-ch1,flux_model_irac-ch2,flux_model_f115w,flux_model_f150w,flux_model_f277w,flux_model_f444w,flux_err-cal_model_hst-f814w,flux_err-cal_model_uvista-y,flux_err-cal_model_uvista-j,flux_err-cal_model_uvista-h,flux_err-cal_model_uvista-ks,flux_err-cal_model_irac-ch1,flux_err-cal_model_irac-ch2,flux_err-cal_model_f115w,flux_err-cal_model_f150w,flux_err-cal_model_f277w,flux_err-cal_model_f444w,zpdf_med,mass_med,ssfr_med
149.76277,2.153492398,25.84039285,25.6365158,25.48803039,24.53818859,24.18722777,24.30629405,24.17598127,25.37084296,24.90140211,24.00873176,23.84606347,0.167433695,0.20201968,0.231626285,0.555551807,0.767553918,0.687832005,0.775545874,0.25802561,0.39759339,0.904705639,1.05093199,0.008282563,0.059515422,0.040426968,0.046167243,0.055980645,0.14611185,0.125876386,0.008690841,0.007462523,0.008532357,0.009896775,3.1078,9.77569,-8.9999
149.760219,2.154691733,27.20785397,27.23204772,27.52577197,26.63636474,25.52072301,24.89375086,24.69211712,27.04901519,26.95754593,24.43582631,24.24132088,0.047518028,0.046470882,0.03545612,0.080436674,0.224755743,0.400405152,0.482117785,0.055003956,0.059838628,0.610477238,0.730250137,0.003473043,0.053536621,0.035226954,0.040016718,0.048235622,0.140973125,0.122452663,0.003516034,0.002774801,0.004315275,0.004985287,4.5071,10.2,-10.1
149.8454282,2.123749274,25.2378133,24.85478322,24.61769288,23.84428521,23.21940095,23.17152463,22.85189289,24.89443501,24.25216631,23.03985532,22.69164353,0.291658528,0.4150369,0.516324637,1.052654656,1.871714565,1.956095924,2.625686337,0.400152925,0.722991975,2.208298977,3.043284724,0.036782456,0.068581313,0.052867153,0.060886304,0.077709961,0.156370142,0.132686529,0.03679209,0.029428354,0.02608231,0.03191564,3.2967,10.30268,-8.66493
149.8395097,2.12592155,25.36651234,24.59492953,24.15302014,23.01863073,22.37274732,21.67575716,21.27832092,24.47426362,23.54694953,21.80957414,21.10194621,0.259056841,0.527264083,0.792121764,2.25189278,4.082263872,7.757059767,11.18591802,0.589243163,1.384268021,6.857571501,13.15895852,0.022037658,0.068604322,0.049752038,0.05678127,0.071161785,0.183518128,0.154923358,0.019220637,0.017040876,0.016554873,0.025151524,2.861,11.24959,-9.59918
149.853504,2.12102817,25.86839114,25.49954138,25.18658871,24.32564088,23.7688264,23.26707692,22.97174682,25.47090847,24.75704487,23.40540548,22.84025753,0.163171214,0.229183552,0.305748627,0.675684023,1.128416529,1.791303733,2.351263338,0.235307956,0.454131945,1.577022197,2.653975987,0.014018557,0.056844066,0.041549101,0.048088774,0.060950576,0.162652117,0.12110967,0.014442067,0.01164718,0.012379932,0.018439842,3.0066,10.29254,-8.83562
149.8476905,2.123660179,26.66655665,26.04701752,26.38460642,26.25722899,25.03317177,24.78654298,25.07392258,26.06947317,25.90567571,24.60323738,24.65309645,0.078230722,0.138418134,0.1014279,0.114053444,0.35215292,0.441959839,0.339180573,0.135584715,0.157662974,0.523244952,0.499759918,0.018913372,0.062372734,0.046477263,0.053807151,0.068889464,0.092652754,0.125830772,0.019112675,0.015430576,0.017944376,0.017750468,4.8634,9.71306,-8.40155
149.7693407,2.1517929,26.4691223,24.17665877,23.52697562,22.75236181,22.01286021,20.87550334,20.65086872,25.28086386,23.90022174,21.32053515,20.55910199,0.093832023,0.775062082,1.409969604,2.877764659,5.686642374,16.21058408,19.9366651,0.28032024,0.999795795,10.75934762,21.69497743,0.027254615,0.367261182,0.283417393,0.292054802,0.316705843,0.564071491,0.364840081,0.028231104,0.025311259,0.048961232,0.084092428,3.2606,11.55729,-10.16002
149.771574,2.152509844,28.32628777,,27.86076892,26.01020707,24.99718342,23.98174192,23.44233496,28.72608395,26.6644821,24.48282157,23.32179515,0.016962306,0.000127377,0.026043085,0.143191477,0.364021164,0.927477182,1.524284441,0.011737252,0.078380343,0.584616911,1.703263885,0.035724615,0.073147493,0.054569415,0.06324328,0.079615125,0.15389393,0.139107122,0.036767336,0.02930209,0.017288407,0.028838923,3.2245,10.21069,-8.43344
149.7533424,2.159590374,25.38551589,24.94731214,24.96745341,24.04540313,23.73654058,23.76710815,23.54852857,24.96537641,24.11436178,23.4012186,23.17492339,0.254562041,0.381131763,0.374126643,0.874658955,1.16247539,1.130203744,1.382256276,0.374843027,0.820833906,1.583115355,1.949982184,0.020194933,0.063140877,0.044786092,0.051455884,0.064314747,0.140897857,0.131203812,0.028272822,0.022363252,0.012853129,0.014606274,2.7147,9.86374,-8.49686
149.8165972,2.136671785,26.15966114,25.89843866,25.82523979,25.43715382,24.83105132,24.59141394,24.97856039,25.573975,25.43594326,24.35598443,24.43157017,0.124777289,0.158717399,0.169786862,0.242738394,0.424208604,0.52897412,0.370318871,0.213998141,0.243009189,0.657061813,0.612875038,0.010145095,0.066152017,0.04533822,0.051251045,0.062003774,0.12273008,0.133256432,0.009984844,0.009366173,0.011538245,0.01193076,4.7707,9.70052,-8.24707
