acsf814w_dust,VISTA_Y_dust,VISTA_J_dust,VISTA_H_dust,VISTA_Ks_dust,irac_ch1_dust,irac_ch2_dust,NIRCam_F115W_dust,NIRCam_F150W_dust,NIRCam_F277W_dust,NIRCam_F444W_dust
25.645899,25.44204,25.168749,24.283966,24.028992,23.562124,23.484741,25.30545,24.415846,23.79714,23.494305
25.228579,24.849134,24.38706,23.187452,22.723495,21.906048,21.683048,24.59883,23.418886,22.330471,21.706053
25.657322,25.479122,25.223166,24.32099,24.020565,23.49434,23.380405,25.349857,24.476395,23.75981,23.3935
26.139612,25.945848,25.676912,24.799835,24.526855,24.058191,23.979292,25.816793,24.934576,24.289331,23.988209
27.349955,27.026129,26.659582,25.662287,25.251244,24.571886,24.419077,26.8399,25.844368,24.898806,24.434654
25.452608,25.040627,24.628794,23.579145,23.14679,22.251583,22.01071,24.82187,23.767956,22.72156,22.036972
25.841566,25.584564,25.299194,24.433014,24.11051,23.50479,23.370596,25.44337,24.578985,23.807722,23.385092
23.572245,23.358648,23.01755,21.979418,21.6624,21.091177,20.953066,23.17742,22.161379,21.399559,20.968494
27.344301,26.580013,25.723896,24.332623,23.870714,23.348175,23.24022,26.046888,24.635658,23.593231,23.252544
25.683226,25.540995,25.242498,24.29144,24.099117,23.808567,23.78639,25.389051,24.419584,23.954557,23.79085
24.524899,24.229656,23.868073,22.844984,22.542797,21.928732,21.783089,24.04067,23.00111,22.258656,21.799726
24.581064,24.557056,24.489,23.946375,23.858109,23.599277,23.580935,24.54001,24.000132,23.739323,23.584082
25.008566,24.8842,24.708784,23.977684,23.775112,23.343466,23.270437,24.802486,24.080793,23.5681,23.279985
24.723476,24.591745,24.298777,23.333002,23.122536,22.764526,22.70958,24.436193,23.482744,22.955292,22.718096
25.38054,25.349798,25.20863,24.467068,24.295458,23.996243,23.962408,25.289013,24.572517,24.148664,23.967546
24.654205,24.464672,24.224691,23.375366,23.113688,22.521423,22.379995,24.34378,23.509995,22.844227,22.39729
25.465223,25.393347,25.202427,24.404692,24.229074,23.918528,23.89202,25.302544,24.51569,24.075323,23.897167
24.931343,24.468428,23.853836,22.469835,21.964806,21.13599,20.89887,24.11986,22.744822,21.582087,20.921608
24.322092,24.323032,24.235409,23.608217,23.521568,23.295841,23.296385,24.29521,23.673536,23.422237,23.298096
